state_alpha,fips5,year,crop,nassyield_kg_ha,nassyield_mt_ha,nassyield_bu_acre,short_desc,state_name
IN,18089,2012,corn_grain,9980.643,9.980643,158.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18089,2011,corn_grain,9697.637999999999,9.697638,154.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18089,2010,corn_grain,9823.418,9.823418,156.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18089,2009,corn_grain,10188.18,10.188180000000001,162,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18089,2008,corn_grain,10376.85,10.376850000000001,165,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18089,2007,corn_grain,10207.047,10.207047000000001,162.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18089,2006,corn_grain,10238.492,10.238492,162.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18089,2005,corn_grain,8553.04,8.553040000000001,136,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18089,2004,corn_grain,10131.579,10.131579,161.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18089,2003,corn_grain,8515.306,8.515306,135.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18089,2002,corn_grain,7207.1939999999995,7.207193999999999,114.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18089,2001,corn_grain,8515.306,8.515306,135.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18089,2000,corn_grain,8402.104,8.402104,133.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2017,corn_grain,9716.505,9.716505,154.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2016,corn_grain,9301.431,9.301431000000001,147.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2015,corn_grain,9515.257000000001,9.515257000000002,151.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2014,corn_grain,10559.231,10.559231,167.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2013,corn_grain,9458.656,9.458656000000001,150.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2012,corn_grain,7691.447,7.691447,122.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2011,corn_grain,9150.495,9.150495000000001,145.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2010,corn_grain,10508.919,10.508919,167.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2009,corn_grain,9685.06,9.68506,154,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2008,corn_grain,9307.72,9.30772,148,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2007,corn_grain,9106.472000000002,9.106472000000002,144.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2006,corn_grain,10402.006000000001,10.402006000000002,165.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2005,corn_grain,8622.219,8.622219,137.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2004,corn_grain,10666.144,10.666144000000001,169.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2003,corn_grain,8955.536,8.955536,142.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2002,corn_grain,7087.703,7.087703,112.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2001,corn_grain,8848.623,8.848623,140.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18091,2000,corn_grain,8452.416000000001,8.452416000000001,134.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2017,corn_grain,12823.271,12.823271,203.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2016,corn_grain,12873.582999999999,12.873582999999998,204.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2015,corn_grain,6974.501,6.974501,110.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2014,corn_grain,11640.939,11.640939000000001,185.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2013,corn_grain,10949.149,10.949149,174.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2012,corn_grain,8339.214,8.339214,132.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2011,corn_grain,10458.607,10.458607,166.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2010,corn_grain,10685.011,10.685011000000001,169.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2009,corn_grain,11445.98,11.44598,182,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2008,corn_grain,11634.65,11.63465,185,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2007,corn_grain,11295.044,11.295044,179.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2006,corn_grain,10251.07,10.25107,163,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2005,corn_grain,9930.331,9.930331,157.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2004,corn_grain,11282.466,11.282466000000001,179.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2003,corn_grain,9295.142000000002,9.295142000000002,147.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2002,corn_grain,9760.528,9.760528,155.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2001,corn_grain,10119.001,10.119001,160.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18111,2000,corn_grain,8817.178,8.817178,140.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2017,corn_grain,11710.117999999999,11.710118,186.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2016,corn_grain,10898.837000000001,10.898837000000002,173.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2015,corn_grain,9527.835000000001,9.527835000000001,151.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2014,corn_grain,11137.819,11.137819,177.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2013,corn_grain,11181.842,11.181842000000001,177.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2012,corn_grain,10420.873,10.420873,165.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2011,corn_grain,9628.458999999999,9.628459,153.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2010,corn_grain,10578.098,10.578098,168.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2009,corn_grain,9810.84,9.81084,156,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2008,corn_grain,10502.63,10.50263,167,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2007,corn_grain,9659.904,9.659904000000001,153.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2006,corn_grain,9986.932,9.986932000000001,158.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2005,corn_grain,8622.219,8.622219,137.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2004,corn_grain,10861.103,10.861103,172.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2003,corn_grain,9332.876,9.332876,148.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2002,corn_grain,6741.808,6.741808,107.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2001,corn_grain,8741.710000000001,8.741710000000001,139,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18127,2000,corn_grain,8087.6539999999995,8.087654,128.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2017,corn_grain,11710.117999999999,11.710118,186.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2016,corn_grain,9986.932,9.986932000000001,158.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2015,corn_grain,6899.033,6.899033,109.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2014,corn_grain,9791.973,9.791973,155.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2013,corn_grain,10251.07,10.25107,163,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2012,corn_grain,6974.501,6.974501,110.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2011,corn_grain,9659.904,9.659904000000001,153.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2010,corn_grain,10389.428,10.389428,165.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2009,corn_grain,9307.72,9.30772,148,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2008,corn_grain,10565.52,10.565520000000001,168,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2007,corn_grain,10156.735,10.156735000000001,161.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2006,corn_grain,9603.303,9.603303,152.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2005,corn_grain,9534.124,9.534124,151.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2004,corn_grain,10521.497000000001,10.521497000000002,167.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2003,corn_grain,7521.643999999999,7.521643999999999,119.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2002,corn_grain,8087.6539999999995,8.087654,128.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2001,corn_grain,8968.114,8.968114,142.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18131,2000,corn_grain,8282.613,8.282613,131.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2017,corn_grain,10804.502,10.804502000000001,171.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2016,corn_grain,8974.403,8.974403,142.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2015,corn_grain,6138.063999999999,6.138064,97.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2014,corn_grain,9829.707,9.829707,156.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2013,corn_grain,10169.313,10.169313,161.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2012,corn_grain,6270.133,6.2701329999999995,99.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2011,corn_grain,8609.641,8.609641,136.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2010,corn_grain,9402.055,9.402055,149.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2009,corn_grain,8427.26,8.42726,134,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2008,corn_grain,8804.6,8.8046,140,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2007,corn_grain,9295.142000000002,9.295142000000002,147.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2006,corn_grain,9691.349,9.691349,154.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2005,corn_grain,8628.508,8.628508,137.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2004,corn_grain,9703.9270000000015,9.703927000000002,154.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2003,corn_grain,7553.089,7.553089,120.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2002,corn_grain,7213.483,7.213483,114.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2001,corn_grain,7930.429,7.930429,126.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18149,2000,corn_grain,8364.37,8.364370000000001,133,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2017,corn_grain,11659.806,11.659806000000001,185.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2016,corn_grain,11898.787999999999,11.898788,189.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2015,corn_grain,8049.92,8.04992,128,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2014,corn_grain,12213.238,12.213238,194.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2013,corn_grain,11578.048999999999,11.578049,184.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2012,corn_grain,7270.084,7.270084,115.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2011,corn_grain,10596.965,10.596965,168.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2010,corn_grain,10502.63,10.50263,167,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2009,corn_grain,11383.09,11.383090000000001,181,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2008,corn_grain,12011.99,12.01199,191,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2007,corn_grain,11024.617,11.024617000000001,175.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2006,corn_grain,10049.822,10.049822,159.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2005,corn_grain,11012.038999999999,11.012039,175.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2004,corn_grain,11062.351,11.062351000000001,175.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2003,corn_grain,8785.733,8.785733,139.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2002,corn_grain,10100.134,10.100134,160.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2001,corn_grain,10452.318,10.452318,166.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18181,2000,corn_grain,9376.899,9.376899,149.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2017,corn_grain,11414.535,11.414535,181.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2016,corn_grain,12439.642000000002,12.439642000000003,197.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2015,corn_grain,9886.307999999999,9.886308,157.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2014,corn_grain,12911.317000000001,12.911317,205.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2013,corn_grain,12395.619,12.395619000000002,197.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2012,corn_grain,7263.795,7.263795,115.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2011,corn_grain,10546.653,10.546653000000001,167.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2010,corn_grain,10697.589,10.697589,170.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2009,corn_grain,11005.75,11.00575,175,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2008,corn_grain,12200.66,12.200660000000001,194,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2007,corn_grain,11747.852,11.747852000000002,186.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2006,corn_grain,10942.86,10.942860000000001,174,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2005,corn_grain,11232.154,11.232154000000001,178.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2004,corn_grain,11861.054,11.861054000000001,188.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2003,corn_grain,9968.065,9.968065000000001,158.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2002,corn_grain,9773.106,9.773106,155.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2001,corn_grain,10703.877999999999,10.703878,170.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18015,2000,corn_grain,9005.848,9.005848,143.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2017,corn_grain,11376.801000000001,11.376801000000002,180.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2016,corn_grain,11923.944,11.923944,189.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2015,corn_grain,8137.966,8.137966,129.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2014,corn_grain,12320.151,12.320151000000001,195.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2013,corn_grain,12093.747000000001,12.093747000000002,192.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2012,corn_grain,6792.12,6.79212,108,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2011,corn_grain,9376.899,9.376899,149.1,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2010,corn_grain,9326.587000000001,9.326587000000002,148.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2009,corn_grain,10313.960000000001,10.313960000000002,164,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2008,corn_grain,11508.87,11.508870000000002,183,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2007,corn_grain,11112.662999999999,11.112663,176.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2006,corn_grain,9666.193,9.666193,153.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2005,corn_grain,10810.791000000001,10.810791000000002,171.9,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2004,corn_grain,11219.576000000001,11.219576000000002,178.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2003,corn_grain,8741.710000000001,8.741710000000001,139,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2002,corn_grain,8779.444,8.779444,139.6,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2001,corn_grain,10137.867999999999,10.137868,161.2,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18017,2000,corn_grain,9332.876,9.332876,148.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18039,2017,corn_grain,10898.837000000001,10.898837000000002,173.3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18039,2016,corn_grain,9980.643,9.980643,158.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18039,2015,corn_grain,9729.082999999999,9.729083,154.7,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18039,2014,corn_grain,11445.98,11.44598,182,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18039,2013,corn_grain,11345.356,11.345356,180.4,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18039,2012,corn_grain,5817.325,5.817325,92.5,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18039,2010,corn_grain,9747.95,9.747950000000001,155,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18039,2009,corn_grain,10125.29,10.125290000000001,161,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18039,2008,corn_grain,8867.49,8.86749,141,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18039,2007,corn_grain,9622.17,9.62217,153,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
IN,18039,2006,corn_grain,9924.042000000001,9.924042000000002,157.8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",Indiana
